% Model,Smooth_Finite_PML_TM30_300GHz_COMSOL61_with_S11.mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 22 2026, 14:43"
% Dimension,2
% Nodes,1338
% Expressions,13
% Description,"Observation angle from upward normal, Re normalized angular field, Im normalized angular field, Normalized angular field magnitude, Normalized angular field magnitude, dB, Normalized angular field phase, Normalized angular intensity, Re scattered E at 1 m, Im scattered E at 1 m, Scattered E magnitude at 1 m, Scattered E phase at 1 m, 2D scattering width, 2D scattering width, dB relative to 1 m"
% Length unit,mm
% X,Y,theta_obs (deg) @ freq=300,real(Sang_complex) (1) @ freq=300,imag(Sang_complex) (1) @ freq=300,Sang_magnitude (1) @ freq=300,Sang_dB @ freq=300,Sang_phase (deg) @ freq=300,Sang_power (1) @ freq=300,real(Escat_far_complex) (V/m) @ freq=300,imag(Escat_far_complex) (V/m) @ freq=300,Escat_far_magnitude (V/m) @ freq=300,Escat_far_phase (deg) @ freq=300,sigma2D (m) @ freq=300,sigma2D_dB @ freq=300
-18.980316819185838,1,-75.92126727674335,-0.0013224303481684865,-0.0011388023953607398,0.0017452550902266144,-55.16284520078451,-139.26571640047862,3.0459319066983133E-6,-8.298778465538572E-4,7.098209897966601E-4,0.0010921432212277846,139.4649956243776,7.494954828740055E-6,-51.252901644190445
-18.977834229118802,1,-75.91133691647522,-0.0013170037167716682,-0.0011424363274564044,0.001743529972032423,-55.17143738878837,-139.05869515901128,3.0399146450722896E-6,-8.309485077092806E-4,7.023063769502802E-4,0.001088097165338766,139.80416314594183,7.439690416761701E-6,-51.28525617323122
-18.920364780816545,1,-75.68145912326618,-0.0011893557333857705,-0.0012199260606326776,0.0017038185500807235,-55.371557217643804,-134.2719170825959,2.9030138525359756E-6,-8.351606866574181E-4,5.243060957635309E-4,9.862086588207438E-4,147.88877545023823,6.1118036166511795E-6,-52.13932737058782
-18.917882190749506,1,-75.67152876299802,-0.0011837628606816571,-0.001222968218777296,0.001702107643582687,-55.380286290796484,-134.06545678409157,2.8971881267799516E-6,-8.343992555258984E-4,5.165139645355455E-4,9.814484203401993E-4,148.25294664753986,6.053144940672671E-6,-52.18154048925689
-18.860412742447217,1,-75.44165096978887,-0.001052848683280239,-0.0012865298363508135,0.0016624827435099698,-55.58488239860266,-129.29448521441344,2.7638651054545436E-6,-7.957843985423324E-4,3.357020297455629E-4,8.638161917611223E-4,157.14061231127044,4.689332035236753E-6,-53.29062211303173
-18.85793015238018,1,-75.43172060952072,-0.0010471419010245374,-0.0012889614679402895,0.0016607648570738359,-55.5938655555905,-129.08880997272956,2.7581578568727185E-6,-7.931716304108269E-4,3.279576245887191E-4,8.584334836349617E-4,157.55297117721452,4.63128696407762E-6,-53.34520958326866
-18.800460704077846,1,-75.2018428163114,-9.142100021332582E-4,-0.0013382291729284914,0.0016207483775450377,-55.80571541109562,-124.33771221870568,2.6268419562534345E-6,-7.120804675807128E-4,1.5209302574955533E-4,7.282904167555612E-4,167.96358878004347,3.3337864872138796E-6,-54.773517687174035
-18.797978114010824,1,-75.19191245604331,-9.084447530983407E-4,-0.0013400377243464874,0.0016190035825280732,-55.815074894763804,-124.1329471080496,2.621191210835202E-6,-7.076692542732386E-4,1.4473887457284654E-4,7.224914895756716E-4,168.46748480671727,3.2810916341835607E-6,-54.84339144931123
-18.740508665708507,1,-74.96203466283404,-7.748080878395656E-4,-0.001374796139661883,0.0015781535942132703,-56.03704479473923,-119.40350967913773,2.4905862088819513E-6,-5.86193634058547E-4,-1.8159819524529734E-5,5.866853046480256E-4,-163.2846000989636,2.163867439370238E-6,-56.65234134549951
-18.73802607564149,1,-74.95210430256597,-7.690422331067112E-4,-0.0013759758474772823,0.0015763638180974105,-56.04690551299202,-119.19968270932357,2.484942555026241E-6,-5.80114671632608E-4,-2.4776856443891475E-5,5.809055072262832E-4,-177.50903642365995,2.1215007689585886E-6,-56.73882025283861
-18.680556627339215,1,-74.72222650935686,-6.360610384643325E-4,-0.0013961727431958534,0.0015342873593788818,-56.281899844591976,-114.49149516139842,2.3540562807404176E-6,-4.2218921802593726E-4,-1.6675385068796886E-4,4.5428524616145257E-4,-158.3916561939226,1.2976454259772954E-6,-58.87457710226424
-18.678074037272197,1,-74.71229614908879,-6.303540635154991E-4,-0.0013967251357855364,0.0015324368917666027,-56.29238740081351,-114.28854235674801,2.3483839212711715E-6,-4.1465390785340645E-4,-1.7229743049869482E-4,4.4949924957992065E-4,-157.3649162604046,1.2702362359474603E-6,-58.96628711790888
-18.620604588969957,1,-74.48241835587984,-4.994164034558617E-4,-0.0014024818684068338,0.001488800569237248,-56.54330838417858,-109.59914110092282,2.2165471753712465E-6,-2.2608689239816802E-4,-2.8582139573302487E-4,3.650633607153629E-4,-128.29205459489407,8.376615263447952E-7,-60.772276739932074
-18.61812199890293,1,-74.47248799561173,-4.938285317117997E-4,-0.0014024161591515338,0.001486876466884713,-56.55454759154168,-109.39691363071697,2.210824484379586E-6,-2.1738689357451193E-4,-2.8998199371594853E-4,3.631981629112398E-4,-126.82207038044317,8.288619841511591E-7,-60.81548190343092
