# COMSOL 6.4 angular-spectrum results, interpolated to a uniform 1 degree grid
# Angle is measured from the upward surface normal; positive is toward +x
# 2D_RCS_m is scattering width per unit out-of-plane length, not 3D RCS in m^2
angle_deg,Sang_real,Sang_imag,Sang_magnitude,Sang_dB,Sang_phase_deg,normalized_intensity,Escat_1m_real_Vpm,Escat_1m_imag_Vpm,Escat_1m_magnitude_Vpm,Escat_1m_phase_deg,RCS_2D_m,RCS_2D_dB_ref_1m
-16,6.934696843161434e-07,-1.137917409368334e-07,7.027437394747584e-07,-123.06406029395302,-9.318644569252545,4.938487633709671e-13,-0.00593091641424831,0.0036311303732786218,0.0069541985376135595,148.5234623861572,0.000303860353697109,-35.17325960972372
-15,1.3620680910924537e-06,-1.1123997089126716e-06,1.7585967693480041e-06,-115.09667458006498,-39.23847998761367,3.0926625971612375e-12,0.0015747752306524267,-0.005829432518775016,0.006038393869070485,-74.88283581425083,0.00022909876256230956,-36.399772565714585
-14,-1.9433888813237386e-06,1.406113757876238e-06,2.3987322160136105e-06,-112.40036464130065,144.11287025778063,5.753916244141567e-12,0.0027404170493344733,0.005590434884771094,0.006225981674013236,63.88602298140949,0.0002435541557937485,-36.13404455610196
-13,4.572882558624637e-07,-1.5785752389763345e-07,4.837680712912191e-07,-126.30725596957048,-19.044855165379413,2.34031546800826e-13,-0.005449917336627562,-0.0038130999828438453,0.006651415673015587,-145.02097973288267,0.00027797647748642435,-35.55991952751215
-12,1.6068113389978362e-06,-1.5806187844227193e-06,2.253929550984674e-06,-112.94119324846689,-44.52918526977834,5.080198420801974e-12,0.006146849040182011,0.0014157476715737612,0.006307780480672503,12.970224576554251,0.00024999597134334417,-36.020669898777726
-11,-2.222664150845614e-06,2.041635493288894e-06,3.018031049361693e-06,-110.40552593072425,137.4308690250571,9.10851141491124e-12,-0.005013464365233516,0.0008403425286074653,0.005083404420942002,170.48470003400723,0.00016236379470747708,-37.895108070636766
-10,6.564375797084067e-07,-4.7187879394598464e-07,8.084428812410608e-07,-121.84701317595851,-35.71039085146294,6.53579892229348e-13,0.002582732649396723,-0.0024603447168669236,0.003567044163460105,-43.60979015056493,7.994601874682669e-05,-40.97203158926326
-9,1.8119500872943167e-06,-1.941619085494211e-06,2.6557574798918025e-06,-111.51623173332189,-46.978525683394906,7.053047792001258e-12,0.0004209184868224308,0.003159937933511333,0.0031878488226690987,82.41259990366213,6.385211743203632e-05,-41.94824696305005
-8,-2.800617305264524e-06,2.8426922387558023e-06,3.990533354682003e-06,-107.97938109621415,134.57282664963455,1.59243564548296e-11,-0.0029769992314379345,-0.0028438558995884282,0.004117042725258746,-136.31032654470425,0.00010650024732074507,-39.72649383681486
-7,1.2611325512837604e-06,-1.1801536607449502e-06,1.7271994600732115e-06,-115.2531501287065,-43.10016209033169,2.9832179748771935e-12,0.004443774398587945,0.001979064056713735,0.004864547815174795,24.00611405654584,0.00014868420035473535,-38.277351785077315
-6,1.6910623188025456e-06,-1.890537885270343e-06,2.5364986224550376e-06,-111.91530738414295,-48.18776862926528,6.433825261716304e-12,-0.004667088978757696,-0.000927614036181339,0.004758380747246083,-168.75859366917686,0.0001422650587904687,-38.469017523250535
-5,-3.5731319938877562e-06,3.7852002505602416e-06,5.205287041324965e-06,-105.67110633353462,133.34918385815308,2.7095013182585608e-11,0.003728285364050664,-3.330383238437425e-05,0.0037284341084489986,-0.5117951282904266,8.734394691730923e-05,-40.58767186977556
-4,2.453035811451514e-06,-2.502930590854937e-06,3.5045750434112596e-06,-109.10729272079678,-45.5768125665717,1.2282046234901032e-11,-0.0018757525610544386,0.000730030580565058,0.002012807074426767,158.73433915048662,2.545564869149672e-05,-45.94215831270609
-3,1.2555129253853384e-06,-1.472632359880762e-06,1.9351895961837003e-06,-114.26552958920459,-49.55029377551681,3.744958773177633e-12,-0.0004821258820836645,-0.0010609488739804671,0.001165357404136333,-114.4384223034219,8.532929313990807e-06,-50.68901852008389
-2,-4.455012787639447e-06,4.8295440839548315e-06,6.570512536849321e-06,-103.64801503424275,132.68998838822088,4.31716349968941e-11,0.0026056344300673007,0.0010147287551437105,0.002796248420592786,21.277746924124123,4.9128258775808136e-05,-43.086686280381684
-1,4.1563932747523335e-06,-4.408791197936151e-06,6.0591290530410154e-06,-104.35179594783565,-46.68789733793442,3.6713044881405715e-11,-0.003997930196470672,-0.0007697302475223763,0.004071354873970444,-169.1020695408049,0.00010414964303202335,-39.82342214237485
